"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"1433 Naustdal";"Jordbruksareal i drift";18121;18586;18769;19440;19442;19626;19715;19451;19500;19285;19327;19020;19256;17131;17175;17178;17147;17042;16812;16705;16783;16559
"1438 Bremanger";"Jordbruksareal i drift";18578;16460;15320;14674;14247;14451;13911;13313;12745;12326;12004;11684;11283;11295;11246;11007;10940;9814;10053;9974;9654;9622
"1439 Vågsøy";"Jordbruksareal i drift";14697;10483;8860;7692;7484;7484;7123;6949;6563;6287;5759;5543;5423;5331;5364;5132;5117;4600;4480;4237;4159;4532
"1441 Selje";"Jordbruksareal i drift";16521;13980;12100;12440;12490;12657;12865;12274;12373;12249;12250;12238;12351;12129;11942;11669;10197;10363;10533;10727;10619;10703
"1443 Eid";"Jordbruksareal i drift";24507;22578;23859;25955;25902;26015;26363;26058;25811;26031;26121;25966;25633;25026;25006;23379;23439;23282;23058;23027;23166;23168
"1444 Hornindal";"Jordbruksareal i drift";0;7093;8863;10220;10187;10371;10440;10407;10877;10652;10593;10898;11255;11281;11333;11052;9975;10103;10107;10397;10156;10067
"1445 Gloppen";"Jordbruksareal i drift";34553;34752;38874;40489;40636;40329;40688;41424;40989;40492;40532;40452;40676;37879;37787;37892;37779;37500;37372;37510;37709;36812
"1449 Stryn";"Jordbruksareal i drift";0;38524;41271;41815;41761;41771;41300;41137;41248;40325;39928;40083;39697;39244;38054;35155;34815;35017;34952;34614;34738;34253
"1502 Molde";"Jordbruksareal i drift";17392;15238;16054;14842;14458;14140;14651;14338;14124;14083;14020;14085;14126;13890;13611;13400;12805;12414;12271;12181;12069;12037
"1504 Ålesund";"Jordbruksareal i drift";0;5702;3697;2367;1977;1772;1881;1916;2022;1721;1842;1784;1746;1732;1870;1691;1641;1724;1729;1764;1765;1676
"1505 Kristiansund";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;3205;3230;3282;3251;3021;2985;3121;2989;2924;2886
"1511 Vanylven";"Jordbruksareal i drift";21121;21347;20275;23511;23452;23550;24912;24862;24768;24236;24021;23542;23503;23091;23366;23186;22721;22557;22862;22769;22681;22879
"1514 Sande (Møre og Romsdal)";"Jordbruksareal i drift";11925;10221;10439;11557;11289;10907;8515;8445;8214;8087;7856;7539;7435;7161;7056;6344;6013;5726;5446;5237;5486;5621
"1515 Herøy (Møre og Romsdal)";"Jordbruksareal i drift";11461;9487;9456;7289;7417;7332;6870;6735;6391;6334;6354;6155;6154;6177;5854;4808;5111;5168;5197;5108;5226;5346
"1516 Ulstein";"Jordbruksareal i drift";6996;6841;5714;5658;5633;5717;5550;5295;4941;4702;4734;4836;4690;4554;4707;4450;4469;4479;4464;4315;4335;4391
"1517 Hareid";"Jordbruksareal i drift";5667;4771;5780;5614;5681;5317;5043;4771;4662;4775;4464;4295;4300;4134;3713;3596;3604;3347;3363;3288;3161;3042
"1519 Volda";"Jordbruksareal i drift";21598;19838;22599;21996;21812;22023;21099;20741;20144;19410;19658;18792;18295;16408;16361;16080;16097;15749;15679;15418;15057;15597
"1520 Ørsta";"Jordbruksareal i drift";35452;34766;37673;41662;42320;42688;42573;41904;40618;39975;39465;38539;37902;35125;35674;35188;34999;34856;34123;33637;33556;33862
"1523 Ørskog";"Jordbruksareal i drift";0;6003;5914;5730;5814;5687;5904;5893;5872;5937;5700;5599;5493;5358;5175;4646;4635;4465;4408;4351;4187;4163
"1524 Norddal";"Jordbruksareal i drift";13029;11791;12686;13001;12727;12878;12863;12394;12267;12359;12375;12506;12609;12731;11912;11620;11560;11393;11727;11762;11827;11631
"1525 Stranda";"Jordbruksareal i drift";16144;15575;16049;16071;16187;16223;16175;16560;16416;16323;16285;16428;16153;16103;16010;14751;14568;14794;15322;15699;15697;15994
